,timestamp,difficulty,hashrate,block_time
249,1579996800,307020,21912897671833,60.54
250,1579910400,302637,21627959340280,60.3
251,1579824000,306454,21949714838601,60.03
252,1579737600,292355,20864217367766,60.43
253,1579651200,297434,21179243580555,60.73
254,1579564800,300966,21658530417166,59.51
255,1579478400,291468,20845281185713,60.24
256,1579392000,313409,22355816730508,60.45
257,1579305600,303710,21694442726731,60.1
258,1579219200,293382,20945157972194,60.59
259,1579132800,272301,19552585151720,59.93
260,1579046400,242342,17365428977143,60.04
261,1578960000,214827,15421531826250,60.32
262,1578873600,252399,18084408785041,59.96
263,1578787200,237842,17000144881118,60.19
264,1578700800,240943,17295600125551,60.02
265,1578614400,227392,16196038191981,60.48
266,1578528000,218147,15622999468055,59.81
267,1578441600,213324,15355109536285,59.9
268,1578355200,213546,15262780067769,60.36
269,1578268800,189847,13537980777155,60.58
270,1578182400,192497,13768949032606,60.22
271,1578096000,180647,12988209128140,59.49
272,1578009600,178656,12818569320698,60.3
273,1577923200,175935,12569619127724,60.03
274,1577836800,167669,12045659695482,59.92
275,1577750400,177553,12668455198008,60.43
276,1577664000,169797,12143437476236,60.16
277,1577577600,166045,11890580999834,60.08
278,1577491200,160148,11447638185559,60.75
279,1577404800,157331,11310099031401,59.94
280,1577318400,150429,10791233381914,60.05
281,1577232000,124353,8929814801233,59.4
282,1577145600,110708,7953932366238,59.67
283,1577059200,107604,7675331587758,60.41
284,1576972800,104802,7503561464371,59.72
285,1576886400,103474,7392061651578,60.51
286,1576800000,100420,7174518041907,60.36
287,1576713600,119184,8483132625192,61.73
288,1576627200,129157,9217731537580,60.54
289,1576540800,130738,9358825163998,60.14
290,1576454400,128309,9159890041914,60.24
291,1576368000,132376,9442811154932,60.44
292,1576281600,129164,9226241357733,60.64
293,1576195200,127941,9192385463563,59.71
294,1576108800,131355,9413423288236,59.86
295,1576022400,129020,9220639521514,60.82
296,1575936000,133891,9630784325782,59.83
297,1575849600,139843,9979466395200,60.38
298,1575763200,140860,10052882601259,60.37
299,1575676800,136436,9782232754639,60.39
300,1575590400,134404,9584929215496,60.43
301,1575504000,136977,9794384758811,60.35
302,1575417600,125278,9002029763909,60.27
303,1575331200,130925,9411363079812,59.46
304,1575244800,125156,8942480186214,61.2
305,1575158400,124924,8960426626297,59.64
306,1575072000,119531,8510972666825,60.6
307,1574985600,120268,8612011951208,59.97
308,1574899200,120091,8594845704918,59.93
309,1574812800,120926,8655876087149,60.6
310,1574726400,119145,8517977714133,60.36
311,1574640000,118306,8481329806400,60.29
312,1574553600,143444,10170574313187,61.99
313,1574467200,168745,12064311590957,60.13
314,1574380800,154301,11013645129080,60.41
315,1574294400,161102,11464821698769,60.73
316,1574208000,162333,11646786624478,59.58
317,1574121600,149901,10766855157358,59.5
318,1574035200,123899,8824215613321,60.67
319,1573948800,146600,10531229194487,61.23
320,1573862400,153159,10992345109094,59.91
321,1573776000,144834,10381789608581,59.65
322,1573689600,135110,9646343341410,60.75
323,1573603200,139252,9990468912232,60.26
324,1573516800,141628,10135754740236,60.2
